timeEnter,htf_tf,htf_epoch,side,entry,stop,target,qty,exit,reason,pnl
2024-08-06 20:00:00,2H,1722974400,LONG,94483.7516,93818.947,95813.36080000001,0.1504201384888124,95813.36080000001,TARGET,200
2024-08-07 14:00:00,2H,1723039200,SHORT,92572.9879,92921.5319,91875.89989999997,0.29264597869995573,91875.89989999997,TARGET,204
2024-08-07 16:00:00,2H,1723046400,LONG,92771.6101,92373.8372,93567.15590000003,0.26155627997783953,93567.15590000003,TARGET,208.08
2024-08-08 02:05:00,2H,1723082400,LONG,93702.3597,93528.609,94049.86110000001,0.6107647336096917,94049.86110000001,TARGET,212.2416
2024-08-08 06:05:00,2H,1723096800,SHORT,95483.9255,95882.7331,94686.3103,0.27141713447787846,94686.3103,TARGET,216.48643199999998
2024-08-09 06:00:00,2H,1723183200,SHORT,97923.0015,98228.9978,97311.0089,0.36081508279675406,97311.0089,TARGET,220.81616064
2024-08-11 02:05:00,2H,1723341600,SHORT,85190.7566,85542.9062,84486.45739999998,0.3197965919211569,84486.45739999998,TARGET,225.23248385280002
2024-08-12 18:20:00,2H,1723485600,LONG,89236.6253,88548.9605,90611.9549,0.16704151028950184,90611.9549,TARGET,229.737133529856
2024-08-13 06:00:00,2H,1723528800,LONG,88758.497,88461.9078,89351.67540000001,0.39504451982818556,89351.67540000001,TARGET,234.3318762004531
2024-08-13 08:00:00,2H,1723536000,SHORT,89578.9151,89998.3181,88740.10909999999,0.2849508870042166,88740.10909999999,TARGET,239.01851372446217
2024-08-15 10:10:00,2H,1723716000,SHORT,89088.1289,89508.5074,88247.37189999998,0.2899754435573511,88247.37189999998,TARGET,243.79888399895142
2024-08-15 16:05:00,2H,1723737600,SHORT,87899.5941,88143.6494,87411.48350000002,0.509464169962582,87411.48350000002,TARGET,248.67486167893048
2024-08-17 04:00:00,2H,1723867200,LONG,89810.2656,89567.849,90295.09879999999,0.5231662330725544,90295.09879999999,TARGET,253.64835891250905
2024-08-17 10:15:00,2H,1723888800,LONG,90473.5469,89986.2531,91448.1345,0.2654674921892701,91448.1345,TARGET,258.72132609075925
2024-08-19 06:05:00,2H,1724047200,LONG,99993.3249,99212.548,101554.87870000003,0.16899562001166432,101554.87870000003,TARGET,263.8957526125744
2024-08-20 10:05:00,2H,1724148000,SHORT,104020.3102,104369.6924,103321.54580000002,0.38521376828131415,103321.54580000002,TARGET,269.1736676648259
2024-08-20 14:00:00,2H,1724162400,LONG,102408.5491,101745.8377,103733.9719,0.20714683723421867,101745.8377,STOP,-137.2785705090612
2024-08-21 02:05:00,2H,1724205600,SHORT,102459.4162,103313.1093,100752.03000000003,0.15919747366351242,100752.03000000003,TARGET,271.8115696079412
2024-08-23 22:00:00,2H,1724450400,LONG,138870.7398,138687.7431,139236.73320000005,0.7575213132260662,139236.73320000005,TARGET,277.2478010001
2024-08-24 14:00:00,2H,1724508000,SHORT,140771.5477,141623.534,139067.57509999996,0.16596085935894497,139067.57509999996,TARGET,282.792757020102
2024-08-27 08:05:00,2H,1724745600,SHORT,133112.6391,133679.5833,131978.7507,0.2543888906178995,131978.7507,TARGET,288.44861216050407
2024-09-10 20:05:00,2H,1725998400,SHORT,136403.7057,136843.463,135524.1911,0.3345226837663819,135524.1911,TARGET,294.21758440371417
2024-09-11 12:10:00,2H,1726056000,LONG,135544.3028,135298.3925,136036.12340000004,0.6101857793101119,136036.12340000004,TARGET,300.10193609178845
